" LEA","LEADESC"
"C6GRLY060","GREELEY IND SOUTH OF 8 ST;  EAST OF 7 AV"
"C6GRLY065","NORTH WELD MINOR SUB"
"C6GRLY070","LARGE LOTS E OF AIRPORT"
"C6GRLY070PW1","ASH 9-B"
"C6GRLY075","GREELEY LARGE IND NORTH 5 ST EAST 11 AV"
"C6GRLY075PW1","GREELEY LARGE IND NORTH 5 ST EAST 11 AV"
"C6GRLY080","COMM N-S 8-16 & EAST 7 AV"
"C6GRLY085","COMM N 5 ST E-W 7-11 AV"
"C6GRLY095","N 4TH ST TO RR"
"C6GRLY100","UNC"
"C6GRLY105","COMM N 11 ST E 11 AV"
"C6GRLY110","COMM S 11 ST E 11 AV"
"C6GRLY112","GRLY S 11TH AVE"
"C6GRLY115","ISLAND GROVE"
"C6GRLY120","3-9 ACRES E OF 85"
"C6GRLY125","UP TO 3 ACRES E OF HWY 85"
"C6GRLY130","10 PLUS ACRES E OF 85"
"C6GRLY135","IRONWOOD BUSINESS PARK"
"C6GRLY135PW1","IRONWOOD REPLAT"
"C6GRLY140","GRLY S. 8TH AVE"
"C6GRLY145","PARKVIEW MIXED USE"
"C6GRLY150","GREELEY IND RURAL NW 10 OR MORE ACRES"
"C6GRLY151","GREELEY INDUSTRIAL SOUTH"
"C6GRLY155","GREELEY IND RURAL NW 4-9 ACRES"
"C6GRLY160","GREELEY IND RURAL NW  1-3 ACRES"
"C6GRLY165","KEE MC SUB"
"C6GRLY170","GREELEY S. 23RD AVE"
"C6GRLY175","9 ST (11 AV TO 23 AV)"
"C6GRLY300","GREELEY MALL"
"C6GRLY305","GREELEY 1ST AVE WEST (31ST ST TO HWY 34 COMMERCIAL"
"C6GRLY310","GREELEY 1ST AVE EAST (31ST ST TO HWY 34 COMMERCIAL"
"C6GRLY315","GREELEY 23RD AVE (26 TO 32ND ST) W TO 28TH AVE COM"
"C6GRLY320","GREELEY 29TH ST (28TH AVE TO 35TH AVE) COMMERCIAL"
"C6GRLY320PW1","GREELEY PLAZA COMMERCIAL PARK COMMERCIAL"
"C6GRLY325","GREELEY SUNSET MEMORIAL GARDENS"
"C6KRSY000","KERSEY COMMERCIAL"
"C6KRSY000PW1","KERSEY BERRYMAN FARM MINOR SUB"
"C6KRSY005","KERSEY COMMERCIAL HIGHWAY 34"
"C6KRSY005PW1","KERSEY COMMERCIAL HWY 34"
"C6KRSY010","KERSEY COMMERCIAL HWY 34 TRANSPORTATION CTR"
"C6KRSY015","KERSEY APARTMENTS"
"C6KRSY020","KERSEY RURAL COMMERCIAL"
